round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
3	ours(posixKqueue)	floor	_hello_world	-	28096.34246766302	0.45837500000000003	60.064458	151.922125	ok
3	ours(posixKqueue)	floor	_echo	-	31659.49143992658	0.48174999999999996	46.466083	99.339541	ok
3	go	floor	_plaintext	-	41847.08721309118	0.475542	20.99025	52.202625000000005	ok
3	go	floor	_json	-	41289.8569080846	0.45075	24.336916	50.995583999999994	ok
3	go	floor	_payload	-	37531.0522993615	0.5065	25.681625	64.987584	ok
3	go	floor	_hello_world	-	44752.13316168721	0.47354199999999996	20.163875	43.768583	ok
3	go	floor	_echo	-	42751.22019024353	0.509916	20.119125	45.705458	ok
3	ours(swiftSystem)	floor	_plaintext	-	30733.293180393157	0.46004100000000003	50.286249999999995	109.953125	ok
3	ours(swiftSystem)	floor	_json	-	39849.38133932879	0.49104200000000003	28.042375	69.235709	ok
3	ours(swiftSystem)	floor	_payload	-	47745.49766405125	0.5917910000000001	14.621709000000001	30.470083	ok
3	ours(swiftSystem)	floor	_hello_world	-	51663.58560802256	0.6332920000000001	11.848291	23.361167	ok
3	ours(swiftSystem)	floor	_echo	-	51616.96239020027	0.60675	11.620333	23.78725	ok
3	bun	floor	_plaintext	-	31240.175839210424	1.755167	5.225750000000001	22.437959	ok
3	bun	floor	_json	-	41810.320188961094	1.451041	3.048292	3.599083	ok
3	bun	floor	_payload	-	41421.66431821965	1.4655	3.0674159999999997	3.6305	ok
3	bun	floor	_hello_world	-	41222.983487821366	1.466833	3.065959	3.6095829999999998	ok
3	bun	floor	_echo	-	39192.75483414414	1.551625	3.222291	3.677833	ok
3	ours(swiftSystem)	full	_plaintext	-	54757.99018985316	0.778	7.255958	14.436584	ok
3	ours(swiftSystem)	full	_json	-	54923.48634106298	0.778917	7.401625	14.070375	ok
3	ours(swiftSystem)	full	_payload	-	53540.129975555574	0.719875	9.093583	19.296416999999998	ok
3	ours(swiftSystem)	full	_hello_world	-	49656.24874869204	0.761292	10.005167	21.417541	ok
3	ours(swiftSystem)	full	_echo	-	54675.07744856002	0.864	6.537916	13.778959	ok
3	nginx	floor	_plaintext	-	48870.60848310705	1.31625	1.643708	2.199875	ok
3	nginx	floor	_json	-	49713.54395500836	1.30075	1.5699589999999999	1.7095420000000001	ok
3	nginx	floor	_payload	-	48228.097994671574	1.333167	1.7069159999999999	2.511708	ok
3	nginx	floor	_hello_world	-	40017.407972130386	1.4334580000000001	4.598	19.226291999999997	ok
3	nginx	floor	_echo	-	0	0	0	0	na
3	caddy	floor	_plaintext	-	53826.268450380885	0.805625	7.026542	14.284084	ok
3	caddy	floor	_json	-	48102.41008363813	0.746541	10.62575	24.665875	ok
3	caddy	floor	_payload	-	50323.925406882554	0.720166	9.592792	18.513458	ok
3	caddy	floor	_hello_world	-	51927.325092479965	0.8085	8.004000000000001	16.597125000000002	ok
3	caddy	floor	_echo	-	0	0	0	0	na
